GL Code,Category,Combined Allowed,Description,Height Limit (ft),Max Stories,Notes,Prohibited With,Residential Only,Subcategory
16920,,No,Restaurants--with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants--with Tables--with Dance Floor: Table Service,,,,,No,
16921,,No,Restaurants--with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants--with Tables--with Dance Floor: No Table Service,,,,,No,
16930,,No,Restaurants--with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants--with Tables--without Dance Floor: Table Service,,,,,No,
16931,,No,Restaurants--with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants--with Tables--without Dance Floor: No Table Service,,,,,No,
16940,,No,Restaurants--with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants--Bar Service Only (No Tables): with Dance Floor,,,,,No,
16941,,No,Restaurants--with Sale of Alcoholic Beverages that are 75% or More of Total Annual Receipts of the Restaurants--Bar Service Only (No Tables): without Dance Floor,,,,,No,
18078,,No,Ship Chandler Stores,,,,,No,
18109,,No,Shoe Repair Shops,,,,,No,
18110,,No,Shoe Stores,,,,,No,
18200,,No,Spas or Personal Enhancement Facilities,,,,,No,
18205,,No,Sporting Goods or Athletic Equipment Distributors,,,,,No,
18206,,No,Sporting Goods or Athletic Equipment Stores,,,,,No,
18335,,No,Stationery or Paper Products Stores,,,,,No,
18435,,No,Stores--Food or Drink--Other Than Not-For-Profit,,,,,No,
18436,,No,Stores--Food or Drink--Not-For-Profit Only,,,,,No,
18437,,No,Stores: Retail NOC,,,,,No,
18438,,No,Stores--No Food or Drink--Not-For-Profit Only,,,,,No,
18501,,No,Supermarkets,,,,,No,
18506,,No,Tailor Merchants--Men or Boys,,,,,No,
18507,,No,Tailoring or Dressmaking Establishments--Custom,,,,,No,
18570,,No,Tattoo Parlors,,,,,No,
18575,,No,Telecommunication Equipment Providers,,,,,No,
18616,,No,Tire Dealers,,,,,No,
18707,,No,Tobacco Products Distributors,,,,,No,
18708,,No,Tobacco Products Stores,,,,,No,
18833,,No,Toy Distributors,,,,,No,
18834,,No,Toy Stores,,,,,No,
18911,,No,Variety Stores--Other Than Not-For-Profit,,,,,No,
18912,,No,Variety Stores--Not-For-Profit Only,,,,,No,
18920,,No,Video Stores,,,,,No,
18991,,No,Warehouses--Mini-Warehouses,,,,,No,
19007,,No,"Washing Machines, Dryers or Ironers--Coin Meter Type",,,,,No,
